id	A	B	C	D	E	F	G
0	B1	B1	B2				
1		B2	B2	B2			
2	B2	C3	C3	B2			
3	B2	B1	B1	B1			
4	B2	A1	A1	A1	B2	B2	B1
5	B1	C1	B1	B2			
6		B2	C2	B2	B3	A2	B2
7		B2	B3	B3			
8	A2	A1	A2	A2	B2		
9	B2	A2	A2	A2	A3	A2	
10		B2	B2	C1			
11	B2	C1	C1	C1	C2	B2	
12	B	A2	A2	A2	A2	A3	B3
13		B2	A2	A2	A2	A1	
14	B2	C3	B2	B2	B3	B3	B2
15	A1	B1	B1	B1	B1	A1	B2
16		B2	B2	C2	C2		
17		B2	B2	B1	B1		
18		A2	A2	A1	B1	B1	
19	B2	C2	C2	C1	C1	B2	B2
20	B2	A3	A2	A2			
21		B2	A1	A1	A1		
22		B2	C1	B1			
23	A1	B2	B2	B2	B2		
24		B2	C1	C1	C2	B2	
25		B2	A1	A1	A1	A1	B1
26		B2	B2	C2	C2	C2	
27		B2	A3	A3	A3	A2	
28		B2	A1	A1	B1	A3	A3
29		A2	A3	A3	A3	A3	A2
30			B2	C3	C3	C3	A1
31				A2	A1	A1	
32	A1	A1	B2	C2	C3	C3	B2
33				B2	C2	C2	C2
