id	A	B	C	D	E	F	G
0	F6	C1	C1	C1	C1		
1	F6	A5	A5	A5	A5		
2	C10	C10	D10	D8			
3	F6	C3	A3	E2			
4	F9	F9	F9	F9	F9		
5	C10	I8	I9	C10	C10		
6	A6	A6	A6				
7	F6	I2	I2	I2	I2		
8	F6	F2	F2	F2	F3		
9	F6	H10	A8	A8	A8		
10	I2	I2	I2	I3			
11	A8	C7	C7	A8			
12	F6	A9	A4	A9	A8	A9	
13	F6	E9	E9	E9	E9		
14	F6	B2	G5	G5	I2		
15	F6	C3	A8	E5	A8	A8	
16	F6	J1	J1	J1	J1	J1	
17	F6	I8	A10	I8			
18	G1	C10	C10	C10			
19	C1	C1	C1	C1	C1		
20	B8	B8	F9	B8			
21	F6	F2	F2	C3			
22	F6	F3	F3	F3	F3		
23	F6	F3	F5	F5			
24	I6	I6	J10	J10			
25	F6	I5	B1	B1	B1	B1	
26	F6	A6	A6	J10	J10		
27	F6	E5	C1	C1	C1		
28	D8	D8	I9				
29	F6	F7	D10	D10			
30	A8	A8	B8				
31	A5	A5	A5	A5	A5		
32	E5	E5	F9	F9			
33	F6	H3	A3	A3			
34	F6	A5	D10				
35	F6	B6	F1	F1			
36	F6	D10	A1	B1	A1		
37	F2	F2	F2	J1			
38	E5	G5	A5	A5	A5	A5	
39	A9	A9	A9	A9			
40	G8	F10	C9				
41	H5	H5	H5	H5			
42	F6	C2	B3				
43	F6	A9	A9	A9	A9	A10	
44	I8	J8	I8	I8	I8		
45	F6	E5	D5	A5			
46	F6	E2	E4				
47	F6	J8	J8	J8	J8		
48	F6	B9	C10	C10	C10		
49	F6	G8	F9	F9	F9	F9	
50	F6	J8	J8	F5			
51	F6	B7	B7	B9	B7		
52	F7	F9	E3	E3			
53	A8	A9	A9	A8	A8		
54	F6	H3	H3	J4	H3		
55	F6	D5	A1	D3	A1	A1	
56	I2	I8	J7	I2	I2		
57	F6	I2	I3	I3			
58	F7	E9	D10				
59	D5	E9	E9	E9	E9	E9	
60	F6	H6	F9	G8			
61	I3	I3	D3	D3			
62	F6	A4	C7	C7	C10		
63	B7	F9	B7	B7	B7		
64	J2	J2	J1	J1			
65	F6	F9	F9	F9	F9		
66	B1	B1	A4	B1	B1		
67	F6	C10	C10				
68	F6	F5	F9	E3	F9		
69	D8	F8	F8				
70	F6	F2	B1	F3			
71	B9	C7	B7	B9			
72	F5	F5	C1	C1			
73	I6	I6	I6				
74	F6	A4	A8	C2	C2		
75	F6	B8	C7	A9	A9		
76	C1	C1	C1	A4			
77	F6	C10	D10	E9			
78	F6	G8	J9	I8	I8		
79	J1	J1	J1	J1	J1		
80	F6	E2	F1	F4			
81	F6	J3	G5	J4			
82	A10	A6	A6	A6			
83	F6	A8	C7	D6			
84	A5	A5	A6				
85	B9	B9	B9	B9	B9		
86	F6	B1	B1	B1	B1	B1	
87	F6	C6	C7	C10	C10		
88	F6	K1	C1	K1	K1		
89	F6	I5	H5				
90	D10	D10	D8	D8			
