id	A	B	C	D	E	F	G
0	I9	I9	I2	J3			
1		G2	J4				
2	F6	F8	G2	G2	B7		
3	E2	E2	J8	J8			
4	B2	F7	F3	F7			
5	F6	D10	F5	F5			
6		C2	F9	B9	B9	C2	
7	F6	I9	I9	C2	C2		
8	J4	G5	G5	J4			
9	A10	C8	C7				
10	D7	D7	D7	A8	A5		
11	F9	F9	F9	J7	F9		
12	F8	F8	F8	F8			
13	F6	E2	C2	E5	E2		
14	A4	C2	A4				
15	F6	H2	G4	H2			
16	C10	C10	G5	G5	C10		
17	C10	C10	D8	C10			
18	F6	G8	G8				
19	A10	A10	G5	G5	G5		
20			E9	E9	E9		
21	F6	A9	A9	A9	A1		
22	F6	E9	A3				
23	A1	A1	E2	E2	B9		
24	F6	B7					
25	F6	J4	J1	J1			
26	F6	B8	F4	A4			
27	C10	C10	E9	E9			
28	A8	A8	G5	G5	A8		
29	F6	J1	J7	B1	B1		
30	B9	C1	C1	F3	C1		
31	E9	E9	E9				
32	F6	B1	J9	C8			
33	B9	B9	E9	A4			
34	F6	D10	D8	D8			
35	F6	E2	F9	J1	J1		
36	F9	C2	C2	D10			
37	F6	E2	E2	B7	E2	E2	
38	I8	E5	G8				
39	C10	C10	E9				
40	A8	A8	A8	A8	G2		
41	E2	E2	A8	A8			
42	F6	I9					
43	F6	C7	A8	C1			
44	A4	A4	A4	C3			
45	F6	A10					
46	F6	H6	I6	H6			
47	F6	B7	B7	B7	A8		
48	F6	G2	D3				
49	F3	F3	F3	F3	F3		
50	F6	E5	A6	E5	H10		
51	F6	B1	C1				
52	F6	F3	F2	F2			
53	J1	J1	J1	J1	J1	J1	
54	B3	B3	B3				
55	E3	E3	G2				
56	F6	C7	B8				
57	G8	A4	A4				
58	A9	A9	C2				
59	E4	E4	E4	E4			
60	F7	F7	F7	F7			
61	E3	E3	E3	A3			
62	F6	A3	B1	B1			
63	B1	I8	B1	B1	B1	B1	
64	F6	F9	B9	A4			
65	F6	G2	J4				
66	E3	G2					
67	F6	E5	E5	E5			
68	A4	A4	A4	B2			
69	B1	D4	B1				
70	F6	J8	G5				
71	F6	D5	J7				
72	A10	A10	A10	F10	A10		
73	F6	E9	E9				
74	F6	F4	E9	E9			
75	B3	B3	G5	C7			
76	F6	A8	A1	A1			
77	A4	F4	D6	A4			
78	F6	A4	D5				
79	B2	E9	A3				
80	F6	J4	J4	E9			
81	F6	D3	D3	D3	D3		
82	E5	A8	I8	A8			
83	F6	I8	I8	J4			
84	E9	B6	E9	H3			
85	F6	B2	B2	I3			
86	J1	J1	J1	J1	J1	J1	
87	F6	D10	C10				
88	F6	G9	G9				
89	J3	A8	G1	G1			
90	J3	B7	J1				
91	I2	I2	J4				
92	F6	I6					
93	F6	E9	E9	E9			
94	F1	F1	F1	G4			
95	I8	I8	C3	I8			
96	J9	J9	J9	I8	B1		
97	F6	G8	C8	C8			
98	F6	E5	I6	I6			
99	D8	D8	D8				
100	J10	J10	J10	J10	B1		
101	E9	E9	E9	E9	E9	E9	
102	F6	F7	C7				
103	A10	A10	A10	A10			
104	B1	B1	B1	C1	J8	B1	
105			G2	G2			
106	F6	I2	H3	F3	H3		
107	F6	H5	H5	H5	J8		
108	A4	D5	D5	D5			
109	D10	D10	A10	A9			
110	F6	A3	D3				
111	F6	C2	C2	C2	C2	C2	
112	F6	D2	D2	D2			
113	F6	F7	F4				
114	F6	J8	E3	J8			
115	F6	C10	F7				
116	F7	F7	D3	B8			
117	F6	F7	F9				
118	F6	B10	A1				
119	F6	F9	F9	F9			
120	F6	D2	D2				
121	F6	A6	G9	G9			
122	F6	H5	B9	E2			
123	A3	A3	A3				
124	I9	A3	F5	I9	I9		
125	F6	C10	D10				
126	F1	E9	F2				
127	F6	A10	B9				
128	F6	J9	D2	J9	F9		
129		F3	F3				
130	F1	F1	F1				
131	F5	A4	A4	F5			
132	H2	J10	J10	J10			
133	G9	G9	C7				
134	B10	B10	B10	B10			
135		B9	E5	D7			
136	F6	F10	F10	F10	F10		
137	G2	G2	F7	C10			
138	E9	C1	B1	E9			
139	F6	B9	B9	B9	A1		
140	E5	E5	A9	A9	A9	A9	
141	F6	I2	I2	B2			
142	F6	D8					
143	F9	F9	F9	E8			
144	F6	A9	F7				
145	F6	C3	E3	E3			
146	F6	A6	A6	J1	J1		
147	D5	D5					
148	F6	J4	J4	J4	J3		
149	F6	B1	G8				
150	F6	D10	F2				
151	F6	B10	B10				
152		A8	A8	C10			
153		A8	J9				
154		B1	E2	A5	A5		
155	G5	G5	G5	G5	A4		
156	I9	I9	I8				
157	H5	E3	H5	H5			
158	B7	B7	C7	B7	A8		
159	D5	A8	D5	A9			
160	A3	A3	A3	A3	B2		
161	F6	J4	F1	F1			
162	J10	J10	J10	J10	F10		
163	F6	F2					
164	J7	J7	C1	E4			
165	F6	A9	A9	A9			
166	F6	F3	F3	F3	F3		
167	F6	E2	E2	H5			
168	F6	I2	H5				
169	G9	H10					
170	B1	B1	J4				
171	A6	D10	A6	J3			
172	I2	I2	F1	F1			
173	F6	J1	J1	J1			
174	F6	G2	E2	E2	E2		
175	F6	A4	E4	I9			
176	F6	E2	E2	I2	I2		
177	F6	F9	E9	E9			
178	F5	I2	I2	I2	I2		
179	F6	J7	E3				
180	J10	J10	J10	J1			
181	F6	B9	E5	B9			
182	C1	C1	C1				
183	F6	F5	A8	D3	D3		
184	F6	E2	H2				
185	B1	G8	B1	C10			
186	F6	F9	F9	A9	F9		
187	A6	A6	C6	B9			
188	F6	C7	C7	C7			
189	F6	C6	E5	E5			
190			I8	I8			
