id	A	B	C	D	E	F	G
0	F6	F7	F7				
1	F6	B7	F5	F5	F5		
2	J1	J1	I2	J1			
3	F6	F9	F9	H10	F9	F9	
4	F6	I9	J10	J10	J10		
5	F6	F8	I6	F10	F10		
6	F6	B2	B2				
7	F6	E5	F7	C10	C10		
8	A5	A5	A5	A5	A5		
9	F6	B2	J1	J1	J1		
10	D10	D10	E4	E4			
11	F6	F7	H10	H10			
12	A1	A1	A1	E3	C1		
13	J3	J3	C2	I2			
14	J1	J1	J1	J1	J1	J1	
15	F6	I8	I9	I9			
16	F6	B3	A6				
17	J3	J3	J3	J3	J3		
18	D2	D2	C2	E5			
19	F6	E3	F7	A4	A4		
20	H5	H5	I3	H5			
21	J1	J1	J1	F2			
22	F6	C2	C2	C2	C2	C2	
23	B2	B3	B2	A3			
24	B7	B7	B7	B7	B7	B7	
25	F9	F9	F9				
26	B9	B9	B9	B9	B9		
27	F6	I8	J10				
28	F6	E2	E3				
29	B10	I8	I8	I8	I8		
30	A9	A9	A9	A9			
31	F6	J7	B1	B1	B1		
32	A8	F9	F9	A8	A8		
33	F6	J3	H10	H10	H3		
34	F6	A8	A8	A8	A9	A8	
35	F6	D10	A10	A5	A4		
36	F6	J2	J2	I2			
37	B8	A8	B8	B8			
38	F6	D8	F3	J9			
39	B2	G1	F1	B2	B2		
40	F6	J1	J1	J4			
41	F6	J10	H8	H8	J10		
42	B7	B8	B7	A6			
43	F6	E2	E2	A1	E2		
44	E9	E9	B10	B10			
45	F6	C6	A9	A6			
46	B1	B1	B1	B1	B1		
47	F6	G1	G1	G1	H2		
48	H5	H5	H5				
49	E2	E3	E3	E3			
50	F6	G5	E5				
51	F6	H10	F10	F9	I8		
52	F6	B1	I2	B1	B1	B1	
53	F6	A8	B8	C6	A8		
54	E4	E4	B3	E4	E4		
55	E2	E2	G2	G4	D3		
56	F6	F7	E9	F3	F3		
57	F6	A8	E2	E2	E2	E2	
58	F6	D7	D7	D7			
59	J10	J10	J10	J10			
60	A10	E3	E5	A10	A10		
61	F6	H2	H2	J1	J1		
62		J3	B1	E2	J1		
63	F3	F3	G4	F3			
64	C1	C1	C1	C1	H3		
65	H2	J1	J1	H2	J1		
66	F6	A8	A8	D6	A10		
67	F6	E5	C7	D7	D7		
68	F6	F7	D8	G8			
69	B1	C2	B1	F9			
70	J8	J8	J8	J7			
71	F6	C10	D10	E9			
72	F6	F9	F9	F10	F9		
73	A5	A5	A5	A3	A5		
74	F6	A6	H10	H10	E9		
