id	A	B	C	D	E	F	G
0		B2	B3	B3			
1	B2	C1	C1	C1	B2		
2	A2	A1	A1	A1	A1	B2	
3	A1	A1	B1	B2			
4		B2	B2	C3	C3	B2	
5		B2	A1	A1	A2	A3	
6	B2	A1	B2	B2	B2	A2	A3
7		B2	A1	A1	A1	A2	A1
8		B2	B2	B2	C3	C3	B2
9	B1	B1	C1	B1	B1	B2	B2
10	B2	A2	A2	A2	B3	B3	B3
11	A1	B2	B1	C1	C1	B1	B2
12	B1	C1	C1	C2	C2	B2	B2
13	B2	A3	A2	B2			
14	A1	B2	B2				
15	B2	C2	B2	A2	A1	B2	
16		B2	B2	A2	A2	B3	B3
17		A2	A3	A3	A3	A3	
18	B2	C3	B2	B2			
19	B2	C3	C3	B2			
20		B2	A1	A1	A1		
21		A1	A1	B2			
22		B2	C1	C2	C2	C2	
23	B2	B1	B1	A1	B1		
24		B2	A2	A2	A2		
25		B1	B1	B1	B1		
26		B2	C2	C2	C2	C2	B1
27		B2	A1	A1	A1	A1	
28			B2	B3	B3	C2	
29		B2	C2	C2	B1	B1	C1
30			A2	A2	A2	A2	
31		A2	A2	B1	B1	B1	A1
32		B2	B2	B2	A1	A1	A1
