id	slack_time	departure_time	return_time
0	4311	0	3914
1	6808	0	3458
2	4826	0	3367
3	2695	917	3914
4	6446	417	3914
5	129	1014	3157
6	5208	52	3883
7	4415	338	3914
8	4874	0	2477
9	2919	0	2791
10	2331	805	3720
11	4065	165	3914
12	5379	59	3890
13	3029	175	3790
14	5449	143	3791
15	5694	53	3617
16	5743	245	3506
17	6799	240	3519
18	4048	0	3882
19	6391	0	3719
20	5165	453	3237
21	4755	0	3914
22	5230	336	3600
23	7313	0	3897
24	1862	238	3914
25	2845	0	3455
26	3760	0	3836
27	4983	0	3399
28	4060	233	3604
29	4624	0	3372
30	3563	526	3629
31	3248	0	3914
32	1447	473	3914
33	6441	663	3749
34	3341	0	3706
35	4947	0	3197
36	4014	233	3914
37	5542	153	3592
38	6058	0	3683
39	4741	347	2845
40	2908	0	2905
41	3657	242	3874
42	6678	0	3747
43	4695	290	2946
44	2710	633	3654
45	3239	233	3914
46	5266	0	3505
47	3903	0	2884
48	2131	432	3474
49	5691	373	3462
50	4082	0	2643
51	5817	0	3594
52	2920	521	2632
53	3386	82	3402
54	4610	0	3509
55	5078	0	3310
56	5488	0	3846
57	6219	48	3684
58	7931	255	3914
59	2005	0	1770
60	4426	146	3809
61	168	2269	2744
62	4513	0	3507
63	5654	0	3563
64	3217	48	3820
65	4482	0	3324
66	1567	0	1668
67	3859	0	3616
68	5727	46	3807
69	6949	457	3629
70	4981	0	3682
71	6056	0	3497
72	3573	141	2838
73	3741	0	3080
74	5327	0	3701
75	7072	141	3914
76	4067	50	3914
77	6804	0	3870
78	5022	0	3422
79	2728	232	2898
80	5222	91	3582
81	1412	1908	3462
82	4430	0	3657
83	5961	0	3549
84	4753	162	3148
