id	slack_time	departure_time	return_time
0	6193	88	3914
1	5633	0	3327
2	5719	0	3212
3	5640	537	3592
4	3599	0	3253
5	6111	0	3683
6	8143	0	3906
7	4324	332	3237
8	5210	0	3872
9	6289	91	3914
10	4066	0	3719
11	4296	344	3435
12	5534	151	3455
13	6084	0	3654
14	3104	0	2617
15	3985	165	3553
16	2370	0	3519
17	4515	48	3531
18	6327	0	3422
19	4403	233	3173
20	4863	52	3914
21	2643	0	3860
22	4668	0	3563
23	6795	47	3215
24	3917	49	3780
25	6833	0	3396
26	5190	271	3629
27	6366	141	3914
28	5205	254	3731
29	5204	0	3737
30	5456	419	3720
31	5241	53	2933
32	6849	0	3914
33	7023	357	3914
34	3381	0	3647
35	4073	1376	2722
36	7234	0	3796
37	4114	50	3213
38	8350	0	3582
39	5445	0	3080
40	4050	0	1560
41	2630	261	3914
42	5563	0	3655
43	4180	0	3887
44	4290	468	2820
45	5534	68	3460
46	3247	0	3310
47	2057	522	3657
48	3690	432	3588
49	2955	617	3125
50	7174	0	3763
51	6465	0	3790
52	3585	0	3499
53	6069	0	3402
54	4418	247	3238
55	5181	524	3401
56	5083	0	3417
57	7090	0	3779
58	6801	745	3838
59	3986	0	3044
60	5212	143	3506
61	5292	617	3693
62	5431	352	3507
63	7859	260	3846
64	1282	0	3545
65	4087	327	3836
66	3393	329	3156
67	7088	463	3914
68	5025	0	3057
69	4826	563	3836
70	3638	47	3606
71	3843	514	3706
72	3030	51	2943
73	4517	0	3749
74	6053	453	3698
75	4097	333	3124
76	4847	419	3784
77	5422	0	3896
78	3943	0	3217
79	6161	0	3807
80	5598	465	3250
81	5301	0	3274
82	4391	155	3581
83	4163	0	2626
84	6399	162	3870
