id	A	B	C	D	E	F	G
0	L3	K3	I3	I3	I3	I4	D7
1	G7	C8	C7	C7	F5	G11	K12
2	F7	C7	C6	N2	I2	C7	J4
3	B10	G11	D13	I2	B13	C13	C13
4	G11	G11	G11	F11	C13	C13	E9
5	J11	L8	N10	M9	B13	N10	M10
6		K8	K8	I12	J11	J11	K11
7	F7	D7	A12	A12	A11	N3	
8	H5	K2	K2	K2	N10	M3	
9	J6	K6	K7	K7	H4	F5	I6
10	I8	L8	K6	K6	J7	K7	F5
11	H3	H1	M4	M4	K7	M5	
12	C8	B6	C6	B10	J6	J6	
13	L8	L8	J6	K3	N3		
14	B10	B9	G12	G12	F4	G7	
15	M9	F4	F4	F4	J6	J6	H7
16	G7	G4	F4	F4	G3	J8	
17	H2	H5	D2	F6	F6	C7	
18	B9	C7	G8	A10	G9	J6	
19	C8	C8	C6	J6	J6	J6	
20	F7	B11	B11	B11	B11	B11	E13
21	I12	I12	H4	H4	G4	F4	
22	K3	A11	A11	A11	A11	C10	
23	I4	D2	D2	E2	E2	E3	G6
24			I8	M9	M9	M9	M9
25	H5	M5	C7	C7	C9	C9	A11
26	M2	I3	M2	L3	F4	F4	
27	F11	K3	J12	K2	K2	J2	
28	C6	C6	B13	B13	A11	K3	
29	F4	G8	F6	F6	F6	G8	
30	A10	F12	B9	C7	I3	N3	
31	G8	E14	E14	E14	E14	E14	G11
32	J12	J12	J12	I13	I13	G11	G9
33	D3	G4	H4	F4	F3	I3	N3
34	F8	A10	F11	E6	M10	M10	M10
35	M3	H3	B6	H4	H4	H4	
36	M3	M3	N2	N2	K2	J2	K3
37	I3	I3	H3	I3	I3	G4	
38	J8	H3	N2	N2	N2	I3	K2
39	J11	B9	I13	I12	I12	I12	K11
40	J6	G5	E4	E4	E4		
41	G4	E2	I6	I6	K11	G11	E12
42	F8	C8	D3	C7	C7	I3	
43	I12	J11	K11	J11	I13	H12	
44	J6	J6	I6	I6			
45	C9	G10	G10	G11	M5	J6	
46	K8	K8	I6	I6	I7	J5	
47	J6	J6	M5	M5	M5	K2	I4
48	C8	G8	G8	G8	J7	H4	N10
49	I6	I5	I6	I6	J8		
50	G8	E13	E14	N10	F11	H5	F11
51	K8	K8	C7	C7	K2	C7	D7
52	H8	J11	A11	A11	A11	B11	B11
53	G8	H5	C7	H4	I1	H1	J3
