id	A	B	C	D	E	F	G
0	B2	B1	A1	A1	A1		
1	A1	A2	A2	B2	B2	A2	B2
2	B2	C2	C2	C2	A3	B3	B2
3	B2	C3	C2	B1	A1	B1	B1
4	B1	C1	C1	C2	C2	C1	B2
5	B2	A2	B2	A2	B2	B3	C2
6	A1	B2	B2	B1	A1	A2	
7		B2	B3	B3	B2	B3	A3
8		B2	C2	C2	C3	C2	
9	B2	A1	A1	A1	A1		
10	B2	A3	A3	A3	B2		
11		A2	A3	A3	A2	B1	A1
12		B2	C2	C1	C2	C2	C3
13	B2	C3	C3	C3	B2		
14	A1	A1	B1	A2	B2	B2	B3
15	B2	B1	B1	B1	A2	A2	
16		B2	B2	B1			
17		B2	A2	A2	A2	B2	
18	A2	A1	B2	C3	B2		
19	B2	C1	C1	C1	B1	A1	B1
20		B2	B2	A1	B1	B1	A1
21	B	A2	A2	A2			
22		A2	A2	A2	A2		
23		B2	B2	B1			
24	B1	B1	A1	B2			
25		B2	B2	B2	B2		
26			A1	A1	A1	A1	B2
27			A2	A2	A2	B2	B2
28			B2	C3	C3	C3	
29			B2	C1	C1	C1	
