id	A	B	C	D	E	F	G
0	F8	F8					
1	D8	C6	D6	E4	F1	F5	
2	F3	G2	G3				
3	F6	J7	F6				
4	F5	D10	E10	I8			
5	E3	C2	E2	E5			
6	E4	E2	G2	F5			
7	G8	G8	F9				
8	F5	F5	G5	F5	A6		
9	C6	C6	A9	E6			
10	E4	E3	E2	F5	E9		
11	F5	I2	J1	J1	F5		
12	F6	J8	G2	G2			
13	F5	E3	F3	I9	J10	F6	
14	E6	B8	D5	E3			
15	F5	G2	G4	D6			
16	F7	C6	B9	B8	E6		
17	E5	B1	C2	F2			
18	B6	B6	F9	E9	E6		
19	E9	F9	F9	E7			
20	E6	A9	B8	E8	E6		
21	E5	B1	F3	C6	A8	B7	
22	F7	F7	J10	I8	F9	J10	F6
23	B3	B3	C3	E5			
24	E5	A3	A4	D5			
25	I3	J2	J1	F5			
26	F5	J1	G1	G2	G1	F4	
27	E6	D10	J10	J10	I8	G8	
28	C7	A8	A6	A7	C10	E6	
29	F6	J10	J10	F5	F5		
30	F7	F7	A8	A5	E2	G1	
31	E2	I2	I2	E4	E5		
32	F7	F7	G5	I2	I2	E2	
33	E6	A8	C10	F10	E9	E6	
34	H5	I3	G3	C2	B1	E5	
35	C3	E3	E3	A8	A5	A5	E5
36	F3	J3	I2	H2	F2	A1	E5
37	C5	A4	C5	I6	F6		
38	F9	C10	A10	D7	E6		
39	F8	F10	I9	E9	E8		
40	F4	F1	F1	F4			
41	E6	C6	E3	E3	A1		
42	G5	J4	J7	I7			
43	D3	D3	A1	E5			
44	G4	G4	J2	I3	I8	F6	
45	D8	C10	E5	F1	F4		
46	E6	A9	C10	A9	B7	D6	
47	E9	F9	J8	J4	G5		
48	E6	C10	E9	F3	F4		
49	E3	E3	E5	E2	F5		
50	F7	C7	B9	A9	B9	B9	E6
51	F6	J7	E9	F9	J8	F6	
52	F5	I3	I6	F2	F2		
53	E6	A9	F9	D4	D3	A5	E5
54	F6	F9	G8	H6	I3		
55	E6	B10	B6	E4	E2	E4	
56	E6	B8	A9	C7	D7		
57	F5	J4	J2	J2	I2	F5	
58	C7	A8	A10	D8			
59	E5	D5	G7	J9	J10		
60	E5	D5	D4	E3	H3	I2	
61	E5	A5	C6	I9	J10	F6	
62	E6	C10	D8	B6	D6		
63	E5	A4	B1	C1	D3		
64	D5	D5	A6	A5			
65	F3	F3	F7	F6			
66	F7	F7	A5	A4	C5		
67	F6	I6	J7	J7	F6		
68	E5	E5	A8	A8			
69	A6	A9	B9	D7			
70	G5	J4	I6	F7	B9		
71	E5	C2	A3	C6	D8		
72	H5	J2	G4	H7	I9	F6	
73	F6	F9	C7	F9	F9		
74	E5	A1	B1	B1	F3	E9	E8
75	E7	E9	E9	A8			
76	G2	H3	J2	H3	A8	A8	E6
77	A4	A4	B5	F9	F10	F6	
78	C7	C7	A5	A1	B1	A1	E5
79	D8	B10	C7	C7	E6		
80	F5	H3	H3	I5	H6	F9	
81	E6	C7	D10	E8			
82	E5	A6	B7	D6			
83	F6	I6	F8	F8	D8		
84	F6	I9	I8	F1	F1		
85	C7	B10	D8	F7	F5		
86	E3	E3	I2	I2	F5		
87	D6	D4	E9	D8	B9	E6	
88	E7	E9	D6	F9	F8		
89	C7	C7	F7	D2	E5		
90	B7	A8	A8	D10	J10	G7	F6
91	D10	F10	G8	H5	G5		
92	E5	A1	E5	F9	E9	E9	E6
93	E6	D10	A10	A9	C2	E5	
94	E5	D3	B6	A7	B8	C10	
95	E5	B1	E3	E5	E2	E5	
96	F5	F4	F4	H10	I10	F6	
97	F10	F9	G9	G8	D3	B1	E5
98	E5	B2	E2	G2	F4		
99	F5	F5	F7	B10	E6		
100	E5	C2	B2	E5			
101	F4	F3	D5	C7			
102	G2	J3	J3	F5			
103	F5	I3	J4	H2	F5		
104	E6	E7	E7	C7	I8		
105	E6	D6	D6	A4			
106	F6	I9	I8	F6			
107	E5	D5	C7	C7	E6		
108	G4	J1	J1	J2	F5		
109	F5	G2	I8	I8			
110	F6	J10	I6	J4	J4		
111	E6	D8	D8	B9	A10	E6	
112	G5	I5	F4	B6	E6		
113	E5	E5	E5	C3	A3	A1	
114	C7	C5	B1	F1	J1	F5	
115	F6	I8	I6	I2	G5		
116	E6	A10	D10	D9			
117	D3	F1	E4	C6	A9	E6	
118	F4	G2	I2	I2	E2		
119	F5	J1	I1	C3	E2	J1	F5
120	E4	G4	I3	H5	H5		
121	F2	F2	F4	F5	E9	E6	
122	E5	C1	D6	E9	E6		
123	E6	B9	B9	J9	F6		
124	G5	D5	E5	D6			
125	E6	B8	A10	C7	A5	D5	
126	E9	E9	F7	G6	J3	F5	
127	E5	B2	J3	J1	G4	F5	
128	E6	B9	B10	A10	E6		
129	E5	A3	A3	B3	D3	E5	
130	F5	J4	H7	F10	F7		
131	E7	G8	I8	I8	F6		
132	D8	A9	D6	F4	E2		
133	E8	D10	D8	A4	A4	D5	
134	E3	E3	F7	F7	J3	J1	F5
135	E6	A8	A8	E9			
136	E5	C7	B10	B10	C10	A10	E6
137	E5	C2	C2	A3	A1	E5	
138	F5	F2	C1	C1	A4	D5	
139	F6	J10	D10	D10	E6		
140	E6	A8	A8	H10	H10	E9	
141	F7	E7	G2	F4			
142	B6	B6	A3	E5			
143	F9	E5	E5	A4	E5		
144	F6	J9	I8	I9	H6		
145	C4	B3	A4	E3	E4		
146	A5	A5	B4	G4	F2	B1	E5
147	E5	A1	C1	E5			
148	F6	I6	I6	H2			
149	E6	B6	E7	E7	D3	E5	
150	F5	F2	G8	C7	B9	E6	
151	F6	F9	F9	B5	A4	D5	
152	F9	H10	J8	F9	A9	B8	E6
153	D5	F5	F9	G7	J3	H4	
154	E6	D10	D10	C10	E6		
155	H4	J3	F2	F2	D7		
156	F6	F7	F7	F10	I8		
157	D3	C1	B1	E4	I8	F6	
158	G9	D10	C10	D8	A10	E6	
159	F5	I2	J7	J8	I8	F6	
160	F3	B1	B2	E5			
161	F6	I8	H8	D3	E5		
162	F9	F9	J10	J8	I9	F6	
163	F5	I2	C3	C2	E5		
164		F5	F2	F2	F7		
165	F7	F7	J10	J10	F7		
166	F6	F7	F7	D3	B5		
167	C2	D2	A3	A4	C5		
168	E6	D10	D10	D10	F7		
169	E5	E3	E3	F7	F8	A8	C7
170	E6	A9	A9	C3	C3		
171	E5	A4	A4	B4	H3	F5	
172	E5	F7	F9	G9	C10	A10	E6
173	E6	B7	A6	G5	I2	J1	F5
174	F6	G8	G8	I5			
175	H3	G2	A1	B1	E5		
176		E5	E5	A6			
177	A5	A8	A8	B8	F9	F6	
178	E2	B3	A3	B1	B1	E5	
179	F5	H5	H5	C6	A4	C1	B1
180	E6	B9	A10	A9	E6		
181	E5	E5	F4	F5	F9	F10	F9
