id	A	B	C	D	E	F	G
0	F6	G1	F3				
1	F6	E9	E9	E9	B9		
2	F6	D3	D3	D3	D3		
3	F6	A4	A4	A4			
4	D3	D3	D3				
5	F6	B2	K1	K1	K1		
6	F6	C6	E9	E9	E9	E9	
7	C10	C10	C10	C10	C10		
8	F6	E2	E2	B5			
9	F6	J3	J3	J3	J3		
10	F6	C10	D8	C10			
11	F6	E9	E9	I8	E9		
12	F6	F7	F7	F7	F10		
13	F6	J8	J8	J8			
14	F6	A5	B9	A5			
15	F6	G8	I8	F7			
16	F6	C10	A10	A8			
17	F6	F2	F2	F2	F2		
18	F6	D10	F9	D10			
19	F6	I8	I8				
20	D8	J1	J1	J1	J1	J1	
21	A5	A5	A1	A1	A5		
22	F6	B8	D10	D10			
23	F6	I8	C10	F8			
24	E7	J10	J10	J10			
25	F6	F9	C3	F9	F9		
26	F6	E2	E2	E2	E2	E2	
27	F6	F2	F5				
28	B9	B9	B9	B9	B6		
29	C2	C2	C2	C2			
30	A10	A10	A10	B10	A10		
31	F5	J1	J1	J1			
32	F9	F9	F9	C7	F9	F9	
33	E9	E9	E9	E9	E9		
34	J4	J4	I3	J4			
35	H5	I5	F3	F5	F3		
36	A8	A8	A8	A8	B9		
37	B7	B7	E4	B7	B7	B7	
38	J8	J8	D8				
39	C1	B1	C1	C1	C1		
40	A3	A3	D2	D2			
41	F6	A10	A10	A9	A10		
42	I2	I2	I2	I2	I2		
43	J1	J1	E3	J1	D3	J1	
44	F6	F9	C8				
45	F6	F2	G2	F2			
46	F6	J1	J1	J1	J1		
47	B1	A4	B1	B1	B1		
48	E9	E9	E9	E9	E9		
49	F6	A5	A6	A5			
50	E2	F3	F7	B1			
51	B3	A4	A4	B3			
52	F4	F4	F4				
53	F6	B9	A9	A9	A9		
54	B2	B2	A9	A9	B2		
55	A10	G5	A10	D8			
56	F6	J10	J10	J10			
57	F6	E3	G2	G2	G2		
58	F6	B8	A10	A10	B1		
59	F6	F9	C1	C1			
60	F6	A3	C2	A10	A10	A10	
61	A9	E3	B2	A9	A9		
62	F6	D10	B7	B7	B7		
63	I2	I2	I2				
64	B3	B3	B3				
65	F6	B9	B1	D6	B1	B1	
66	G4	G4	G4				
67	F6	D10	D5				
68	F6	E3	E3	E3			
69	F6	D10	I9	I9			
70	F6	I2	J4	I2			
71	F6	F3	F3	F3	F3		
72	J7	I9	H10	J8	J8		
73	F6	E9	D8	C10			
74	F6	F9	E5	F9	F9		
75	F9	F9	F9	F9			
76	C3	A4	B1				
77	H2	I2	F1	H2			
78	A4	I8	A4	A4	A4		
79	F6	G9	A10	A10			
80	J1	C2	F2	J1			
81	F5	I3	J1	F5			
82	F5	I5	F5	F5			
83	F6	G5	G5	J4			
84	F6	B7	B7				
85	F7	F7	C10	F7			
86	F6	F2	F3	J1			
87	F6	B2	B2	A1			
88	F9	F9	F9				
89	F6	H2	H5	H5			
90	F6	C3	A4	A6			
91	F6	H10	J7	H10	H10		
92	F6	E2	D2	D3			
93	A4	A4	A4	A4	A4		
94	A1	A1	A1	A1	A1	A1	
95	F6	C2	E5	J10	J10		
96	F6	D10	I3	I3			
97	F6	E9	E9	J3	J3		
98	B9	C8	C8	C7			
99	C10	C10	C10	C10	C10		
100	F6	I8	I9	J10			
101	F6	J10	J10				
102	F6	C7	E2	F2			
103	E3	E3	E3				
104	A9	A9	A9	A9	A9	A9	
105	C10	C10	F7	C10	C10		
106	D10	D10	A8	A9			
107	F6	F7	F7				
108	D2	D2	D2	B1			
109	A8	E3	A4	A8	A8		
110	F6	I3	J2	F1			
111	F6	J7	J1	J1	J1	J1	
112	E5	E5	F9				
113	E9	B8	E9	E9			
114	F6	C3	C2	C2	C2		
115	F9	C7	C7				
116	F6	J1	J1	J1	J1		
117	F6	C10	E2	E2	E2		
118	E3	E4	E3	E3			
119	I8	I8	I8	I8	I8		
120	F6	B1	I9				
121	E3	E3	B2	E3			
122	E2	F3	F3	F3			
123	F6	A4	E4	E4			
124	D10	D10	D10				
125	F5	F5	A1	E2			
126	F6	E5	A9	A9			
127	F9	F9	F9	F9	F9		
128	F6	F7					
129	B1	B1	F9	B1	B1		
130	F6	I8	I8	I8			
131	F6	G8	C2	C2	C2	C2	
132	F6	I8	F6	I2			
133	C10	C10	C10	C10	C10		
134	F6	J8	J8	J8	J8		
135	F6	A4	A4	A4			
136	A8	A10	A8	A8	A8		
137	F6	B1	B1	B1	B1	A8	
138	A4	A4	A4	B1			
139	F6	D3	J1	J1	H3		
140	F6	F5	F4	G4			
141	B8	B8	B8	B9			
142	F6	J3	H3	H3	H3		
143	J8	J8	J8	F9			
144	A6	D7	C7				
145	A5	A5	A5	C3	A5		
146	C9	C9	C9				
147	F6	H2	J4	H2	H2		
148	F6	B7	B7	B10	B7		
149	F6	F2	F2	G2			
150	F7	D6	E4	E4	E4		
151	F6	B3	B3	B6			
152	C3	C3	C3	G1			
153	F6	H3	A4	A4			
154	J10	J8	J9	J10	J10		
155	F6	J4	J4				
156	E2	F1	F1				
157	F6	J10	J10	J10	J10		
158	F6	B7	B7	B7	B7		
159	F6	D5	D5	F7			
160	F6	J7	J7				
161	F6	E9	E9				
162	A3	B1	F1	F1			
163	F4	J10	J10	H10			
164	F6	F2	C1				
165	F6	I6	J8	J8	J8		
166	F2	F2	C8				
167	F5	I2	J1	F5			
168	F6	F9	C10	C10			
169	F6	E9	A6	E9	E9	E9	
170	E2	B8	E2	E2	E2		
171	F6	A5	E3	A5	A5	A5	
172	F6	C6	A4	A4			
173	F6	A9	A9	A9	A9		
174	F6	F3	C7	C7			
175	H6	H10	H6	H6			
176	B9	D10	D10	H10			
