id	A	B	C	D	E	F	G
0.0	A10	A10	A10	A10	A10	A10	
1.0		A8	A4	A8	A8		
2.0	F9	I2	F9	F9	F9	F9	
3.0	F6	A3	C10	H5			
4.0		A4	B3				
5.0	A9	A9	C10				
6.0			H2	H2			
7.0	F6	K1	F8	F10	K1		
8.0			E4	E4	E9		
9.0	F2	I6	D2				
10.0		A3	A3	B7			
11.0	J1	J10	J1	J1	J3	J1	
12.0	F6	D7	F9	A9			
13.0		E5	E2	E2	E2		
14.0		D8					
15.0	F6	F5	A10	A10	B9		
16.0	F6	C10	C10	C10			
17.0	F6	G4	G4				
18.0		I8	E9	E9	E9		
19.0	F6	B1	E5				
20.0	F6	D3	D3	D3	D3		
21.0	F6	B1	B1	B1	B1	B1	
22.0	F6	I2	I2	I2	I2		
23.0		E4	E4	E4			
24.0		G9	F6	F9			
25.0	H3	H3	H3	H3	H3		
26.0	F6	C2	D3	D6	A10		
27.0	F6	A5	A5	A5	A5	A5	
28.0			B6	B6			
29.0	A5	A5	A6	A6	A5		
30.0	F6	D6	C1	C1	C1		
31.0							
32.0	A3	A3	A3				
33.0			G5	B10			
34.0			F9	F9	I9		
35.0	F6	A5	C1	C2			
36.0			J4				
37.0	J9	G8	F9	F9			
38.0	E9	E5	E7	E9			
39.0	F6	H3	H3	E5	H3		
40.0	F6	A3	A3	A3	A3		
41.0	F6	B3	C2	C2	C2	C2	
42.0			C7				
43.0			J3				
44.0			D8	B7	B2		
45.0	I3	I3	E3				
46.0	F6	C10	C10				
47.0	F6	B1	B1	G4			
48.0	J10	J10	J10	J8			
49.0	F6	J3	E5	E5			
50.0	F6	B8	E9	J10	J10		
51.0	J1	J1	J1	J1	J1		
52.0	F6	F9	F9	F9	F9	F9	
53.0		B3	E3				
54.0	F5	G2	G2	G2	G2		
55.0		B9	B9				
56.0	J1	B10	J1	J1	J1	J1	
57.0		A10	J10	A10	A10		
58.0	F6	J4	J4				
59.0				D5	A4		
60.0	A6	B1	E3	D2			
61.0	B7	J8	B7	B7	B7	B7	
62.0		F10	B2				
63.0	F7	A8	C7	F7			
64.0	F9	B9	F9	E9	F9		
65.0	F6	J10	J10	J10			
66.0	F6	G1	I8	I8	G1		
67.0	F6	E5	H2	H2	H2		
68.0	J1	B1	B2	J1	J1	J1	
69.0	F9	F9	D2	F9	F9		
70.0	F6	I5	B1	B1	B1		
71.0	B1	F7	B1	B1			
72.0	F6	A8	B9	H10			
73.0	B1	C1	C1	B1			
74.0	A8	A8	A8	A8	A8	A8	
75.0	F6	D5	A1	A1			
76.0	J8	J8	J8	F7			
77.0	F6	B1	B1	B1	B1	B1	
78.0	F6	C10	C10	C10			
79.0	F6	A9	A9	A9			
80.0			F3	F3			
81.0	F9	F9	F9	F9			
82.0	F3	F3	F3				
83.0	F6	H3	F1	E9	E9		
84.0	F6	F8	B5	A5			
85.0	A1	C1	A1	A1			
86.0	F6	C3	A10	B9			
87.0	F6	F1	J1	J2	J1		
88.0	A8	F10	A8	A8	A8		
89.0	A9	A9	A9	F5	A9	A9	
90.0	A10	A5	A10	A10	A9		
91.0			F9	F9			
92.0	F6	J3	E9	E9	E9		
93.0	F2	E3	F2	I2	I2		
94.0	F6	G8	C10	C10	C10		
95.0	B1	E3					
96.0	F6	I9	I9	I9	I9		
97.0	F6	C6	I9	I8			
98.0	F6	F5	D3	F5			
99.0	A1	A1	A1	A1	A1	A1	
100.0	F6	A4	A4	A4	A4		
101.0		C6	G1	C10	A1		
102.0	F6	A10	A10	A10			
103.0		B8	A4	B8			
104.0	F6	A10	A10	B10	A10		
105.0	E6	E6	B8	B8			
106.0	F6	J10	J10	G2			
107.0	B9	D5	B9	B9	B9		
108.0	C2	C2	C2	C2	A1		
109.0	C10	C10	A9	C10			
110.0	A3	F9	J10	A3			
111.0	F6	B3	J2	J2			
112.0	F6	H2	J1				
113.0	E9	E9	J1	E9			
114.0	F6	A5	A4				
115.0	F6	H6	A6	I8			
116.0	F6	G5	J8	J8	J8		
117.0		C8	C8	C8			
118.0	F6	C3	C7	C10			
119.0		E2	E3	J4			
120.0	F6	F7	F9	F9			
121.0	F6	I9	I9	I9			
122.0	F6	E9	E9	E9	B9	E9	
123.0	D7	D7	D7	D7	D7		
124.0	A5	J10	A5	A5	A5		
125.0	I3	F3	J4	J1			
126.0	F6	A3	D5	F9	F9		
127.0	F6	G2	G2				
128.0	F6	I3	I6				
129.0	F6	A8	B10	B10			
130.0		J10	F9	J10			
131.0	F6	I2	F7				
132.0	F6	D10	E9				
133.0	F6	A8	A8	A8			
134.0	F6	E5	A4	A4			
135.0	F7	F7	F1	F7			
136.0			F7	F7			
137.0	J1	J1	J8	J8	J1		
138.0	F6	C10	C10	C10			
139.0	F6	A10	C9	A9			
140.0	F6	J4	F2	G1			
141.0	F6	F2	F2	F2	F2		
142.0			C2	E8			
143.0	C1	C1	C1	C1	C1		
144.0	F6	E2	E2	E2	E2	E2	
145.0	F6	J4	E9	E9	E9		
146.0	F3	F2	F3	C7			
147.0			G9	J10	J10		
148.0	A9	B10	A9	A9	A9		
149.0	E2	A1	E2	E2	E2		
150.0			I8	I8	E4		
151.0	C10	C10	D8	C10	C10		
152.0	F6	E2	A8				
153.0	F6	E9	C2	C2			
154.0	F6	C10	E2	E5	C10		
155.0	F6	F10	F10	G8	F10		
156.0	F9	J1	F9	H2			
157.0	F6	F3	F9	F3	F3		
158.0	F6	B8	B8	B2			
159.0		C10	C10	C10			
160.0	F6	A4	A4	A4	J10		
161.0	F6	B7	A9	A9			
162.0	F6	E9	E9	E9	E9	E9	
163.0	F6	A4	B1	A4	J10		
164.0	A4	A4	A4	A4			
165.0	F6	J7	J7	F9	F10		
166.0		B7	B7	B7			
167.0	B1	H3	I2	B1	B1	B1	
168.0	J8	J8	J8	J8	J8		
169.0	A1	G5	A1	A1	C1		
170.0	J10	J10	J1	J10	J10		
171.0	F6	C6	J8	J8			
172.0	F6	A6	E5				
173.0	F6	C2	C2	C2	C2	C2	
174.0	F9	I8	F7	F9	F9		
175.0	I9	C7	I9				
176.0	F6	J8	J8				
177.0	E2	D3	E2	E2	F5		
178.0		D10	J10	J10			
179.0	F6	B2	J1	B2	B2		
180.0	F6	F6	F5	J7			
181.0	A9	A9	G4	A9	A9		
182.0	F6	C9	C7				
183.0	F10	F10	B10	F8	F10		
184.0	I3	D10	D10	I3			
185.0			G2				
186.0	F6	C10	B6	B6	B6		
187.0	A3	E7	A3	C3			
188.0	F6	E5	E5	F2			
189.0	F6	I2	I2	I2	I2		
190.0	I8	I8	I8	I8	I8		
191.0	F6	B3	E2	B3			
192.0	F6	G8	G8	J3			
193.0	F6	A1	F7	H5	F2		
194.0	F1	F1	F1	F1			
195.0		E5	E5	B1			
196.0	F6	H10	H10	C10			
197.0		C8	C10				
198.0	D3	D3	I8	D3	D3		
199.0	G2	F10	G2	G2			
200.0	F6	A3	E9	E3			
201.0	B9	B9	B9	B9			
202.0	J1	J1					
203.0	A6	A6					
204.0	J10	J10	J10	J10			
