id	slack_time	departure_time	return_time
0	3486	336	3310
1	6385	166	3604
2	3850	0	3117
3	6509	0	3657
4	3550	1092	3527
5	6613	0	3747
6	4629	54	3712
7	6461	0	3499
8	3600	0	3404
9	4973	325	3406
10	6736	0	3914
11	7361	0	3883
12	5621	64	3890
13	5653	0	2973
14	4852	329	3737
15	5354	0	3439
16	5614	0	3257
17	6529	0	3551
18	5856	0	3827
19	4967	143	3914
20	6284	143	3882
21	5913	146	3836
22	7647	0	3914
23	6867	0	3807
24	4499	51	3682
25	4828	196	3791
26	5578	0	3896
27	5765	0	3309
28	4985	0	2943
29	5686	0	3086
30	6878	0	3914
31	6375	68	3606
32	4172	0	3561
33	5498	0	3655
34	6372	0	3914
35	5453	0	3914
36	4121	347	2921
37	4886	0	3749
38	5541	0	3474
39	5245	0	3592
40	4714	748	3606
41	5887	166	3914
42	5472	250	3462
43	4879	261	2995
44	5159	0	3425
45	7547	0	3744
46	7300	0	3591
47	5758	0	3719
48	5670	0	3914
49	2071	0	3217
50	8145	0	3498
51	7627	0	3914
52	3010	0	3545
53	5159	0	3656
54	4242	0	3657
55	5627	165	3906
56	6630	0	3645
57	7075	0	3470
58	7408	0	3914
59	6166	52	3720
60	6359	0	3870
61	2965	0	3275
62	6290	0	3899
63	6557	47	3796
64	3168	233	3498
65	4251	0	2941
66	7005	51	3788
67	5423	0	3779
68	6527	0	3531
69	5850	432	3887
70	7340	0	3874
71	6791	473	3914
72	6358	0	3763
73	5822	0	3695
74	5775	48	3807
75	1945	141	3588
76	6162	0	3272
77	5738	46	3688
78	5699	0	3599
79	5375	0	3914
80	5339	0	3779
81	4213	47	3914
82	6684	0	3688
83	5391	0	2821
