id	slack_time	departure_time	return_time
0	4843	0	3604
1	4579	0	3409
2	0	2611	3914
3	4329	360	3657
4	6247	0	3684
5	3971	144	3887
6	3658	749	3712
7	6259	0	3606
8	0	1704	3404
9	4378	358	3914
10	4556	0	3594
11	7359	0	3874
12	5250	64	3519
13	3735	43	3274
14	5261	0	3641
15	4775	0	2966
16	0	1754	3914
17	6784	0	3551
18	6236	0	3531
19	3132	0	3914
20	280	1616	3914
21	3766	47	3509
22	7842	53	3779
23	4673	145	3836
24	3205	53	3217
25	3384	0	3896
26	5230	0	3689
27	5664	0	2791
28	6555	0	3701
29	6592	0	3309
30	4094	0	3747
31	4974	155	3809
32	6071	0	3688
33	3970	0	3250
34	6416	0	3860
35	6018	0	3744
36	4977	0	3553
37	2880	338	2904
38	5824	0	3629
39	4086	383	3780
40	3298	428	3499
41	712	2385	3688
42	4600	175	3275
43	6270	0	3606
44	4601	329	3706
45	7034	73	3883
46	6603	0	3415
47	5779	0	3914
48	3979	12	3033
49	2954	624	3779
50	7501	0	3498
51	5613	0	3737
52	7073	0	3682
53	2412	143	3656
54	4909	0	3383
55	4052	165	3380
56	4629	667	3647
57	5820	0	3561
58	7654	0	3914
59	6290	0	3279
60	5570	0	3870
61	4897	106	3914
62	6219	0	3498
63	6298	0	3823
64	5804	0	3310
65	5378	0	3749
66	3301	545	3401
67	5662	0	2989
68	5822	0	3435
69	6658	0	3796
70	3966	88	3396
71	4866	142	3283
72	5821	55	3763
73	4634	0	3197
74	6185	50	3645
75	4273	51	3591
76	7110	0	3914
77	6343	72	3872
78	5595	0	3796
79	4929	56	3592
80	5085	0	3506
81	4027	0	3365
82	3943	357	3914
83	2443	930	3708
