id	A	B	C	D	E	F	G
0		B2	B2	C3	C3	B2	
1	B2	C2	B1	B1	B1	B2	
2	A1	A1	A2	A2	A1	A2	
3		B2	B2	C1			
4	B2	C3	B2	B2			
5	B2	A3	A3	C3	C3	B2	
6		B2	A2	A2	B1		
7	A1	A1	B1	B1	B2		
8	B2	A2	A2	A1	B1	C1	B1
9	B1	B1	C1	B2	A2	A3	A3
10	B2	B1	B1	A1	A1	A1	A1
11		A2	A2	B1	C1	C1	
12		B2	C2	B2			
13	B1	C1	C2	C3	C3	B2	B2
14		B2	B3	B3	C2	B2	
15		B2	B2	B2			
16	B2	C1	C1	C1	C2	B2	
17	B2	B1	B1	B2	B1	B2	B3
18		B2	B2	B2	A2		
19	A1	A2	A2	B3	B3	B2	A1
20	B	A2	A2	A2	B2	B2	C2
21		A2	A3	A3	A3	A3	B3
22		B2	C2	C2	B3		
23	B2	C3	C3	C3	B2		
24	A2	A1	B1	B2			
25		B1	B1	B1	B1	C2	
26		B2	A1	A1			
27			A1	A1	A1	A1	
28		B2	C1	C1	C2	C2	
29		B2	A3	A3	A3	B3	B2
30		B2	A1	A1	A1	A2	B3
31		B2	A1	A1	A1	A1	A1
32				B	B1	B1	B1
