id	A	B	C	D	E	F	G
0	F6	A8	A8	A8	A8	A8	
1			B1	A3			
2		J9	E9	J8			
3	G2	G2	E9				
4	F6	D7	B3	D7	D7		
5	A10	F9	A10	A10	A10		
6	F6	B2	B2	A10	A10		
7	G2	G2	G5	D10			
8	F6	G8	C10	C10			
9	F7	F7	F7				
10	J7	J7					
11	F6	F10	F10	F10	A1		
12	A5	A5	A5	F9	A5		
13	A5	B9	B9				
14	G8	C6					
15	F9	I5	F9	F9	F9		
16	E4	E4	E4	C10	E4		
17		F3	F3	F3	F3		
18		A8	A8	F3			
19	A3	D8	F9	F9	F9		
20	E5	E5	G8				
21	F9	C3	F9				
22	F6	F10	I9	I9	I9		
23		I8	I8	I8			
24	F6	I8	I8	I8	I8		
25	H5	A8	H5	H5			
26	F6	F7	D2	C7			
27	E5	B1	D8				
28	D6	D6	D6				
29	F6	G9	J10	J10			
30	E5	E5					
31	D10	D10	G2				
32	F6	E4	E4	E4	B9		
33	D3	D3	D3	J3	D3		
34	F7	F7					
35	F6	J1	F2	A4			
36	F6	A1	A1	A10			
37	F6	A10	I6	A10			
38	F6	A1	I2	I2			
39	F6	D2	E3				
40	F6	J4	J4	J4			
41	E2	E2	E2	E2			
42	F6	B10	G5	E9			
43	F6	G4	G4	G4			
44	F7	F7	F7	F7			
45	E4	E4	E4	E3			
46	A3	A3	A3	B2	F9		
47	F6	G8	J8	J8	A5		
48	F6	H10	J10	J10	H10		
49	F6	C2	A3				
50	F6	J7	J7	A4			
51	F6	B7	B7				
52	J1	C7	C7	J1	J1		
53	F6	E7	A4	A4	A4		
54	E3	E3	C10	F9			
55	C3	C3	C3	C3			
56	F6	F4	F4	J1			
57	F6	J8	J8	B10			
58	F6	E2	H2				
59	F5	F7					
60	E5	E5	B10	E5			
61	F6	H10	J8	D8	J8		
62	F6	A8	A8	G9			
63	F6	J4	J4	D3			
64	C1	C1	B1				
65	F6	J8	J8	D3			
66	F6	F2	F3				
67	F6	G2	E5				
68	F6	B6	B1	C2	I2		
69	F6	A4	C10	A4	A4		
70	B1	B1	B1				
71	I2	I2	I2	B9			
72	A10	A10	F10	F10	A10		
73		E5	B1				
74	F6	D10	D10	E9	E9		
75	F9	F9	J10	F9	C10		
76	F6	E5	A4	A4	F2		
77	A9	A9	A10	A8			
78	I3	A5	I3	I3			
79	F6	J4					
80	J10	J10	J10				
81	F6	D5	D5				
82	B7	B7	B2	J4			
83	F6	F9	A9	B1			
84	F6	C2	C2	C2	A5	C2	
85	F6	A6	A6				
86	F9	C6					
87	F6	B7	B7				
88	F10	F10	F9	F9	F9	F9	
89	B1	C7	C7				
90	D8	D8	F9				
91	F6	D10	C7				
92	C7	C7	I8	C7			
93	I2	F5	B2				
94	F6	J1	B9	B9	B9		
95	F6	D8	J1	J1			
96	D3	D3	D3	D3			
97	F6	E9	E9	E9	E9		
98	F6	C7	C7				
99	J1	J1	J1	J1	J1	J1	
100	B8	B8	A9	A10			
101	F5	F5	F5	F5	F5		
102	F6	J4	D3				
103	F6	C2	C2	C2	C2		
104	F5	F5	F5	F5			
105	F6	E9	E9	E9	E9	E9	
106	F6	G5	G5	G5			
107	I5	B9	G4				
108	F2	A9	A9				
109	F6	B10	D8	B10			
110	F6	C7	C7				
111	F6	K1	K1	C2	C2	C2	
112	F5	B9	G8				
113	B1	A9	A9	A9	A9		
114	F6	F9	A4				
115	E2	B9	D8				
116	F6	I8	G9	I8	I8		
117	F6	C10	C10	C10	I9		
118	C7	C7	C7	C7			
119	F6	J9	J9	E9			
120	I6	I6	A4	A4			
121	F6	B6	C10	B6			
122	G8	B10	D8				
123	F6	D3	I9	I9	C10		
124	A4	D5	D5				
125	D8	F9	F9	F9	F9		
126	F6	B9	B9	I3			
127	A8	G1	J10				
128	H5	H5	H5	H5			
129	F6	B7	C1	E2	C1		
130	F6	I9	I9	A9	F3		
131	E9	E9	I9	E9	E9		
132	D10	D10	D10	D10	H3		
133	F6	B3	F1	F1			
134	A8	A8	A8	A8	A8		
135	A10	H5	E3	A10			
136	F6	B3	A3				
137	B3	B3	F8	C3			
138	F6	G5	I2				
139	F6	B3	B3				
140	F5	F5	F5	J2			
141	F5	F7	I3				
142	B7	B7	B7	B7	B7	B7	
143	F6	C10	C10	C10	I2		
144	F6	B9					
145	F6	F9	F9	F9			
146	F6	I8	I2	I2	I2		
147	J1	D10	J1	I2			
148	F6	B1	J3	J3			
149	E9	E9	E9	F10	J1		
150	G8	G8	G8				
151	F6	A4	A8				
152	J1	H5	J1	J1			
153	F6	D5	G1				
154	F6	F9	J10	J10			
155	F6	G4	G4				
156	F6	C7	F9	B1	B1	B1	
157	F6	C10	C10	C10	G1		
158	F6	F2	F2	I8			
159		F7	D3				
160		I6	F2				
161	A7	A7	A7	A1			
162	J1	J1	J1	H5	J1		
163	F6	C2	F1				
164	F6	D6					
165	H10	H10	F6	F6	E9		
166	F6	D10	J10	C1			
167	F6	B3					
168	G8	G8	G8	A9			
169	F6	E9	J3	E9	E9		
170	F6	G5					
171	F6	A3	A3	J3			
172	J3	J3	H6	H6			
173	B1	D4	B1	B1			
174	A4	E2	A4	A4	A4		
175	F1	I6	G2				
176	F6	J1	J1	J1	J1	J1	
177	F6	J4	C3	J4			
178	F6	E2	D3	D3			
179	F6	F9	F9	G4			
180	F7	F9	J10	J10	J10		
181	F6	E3	B2	B2	B2		
182	I6	A6	A6				
183	F6	G9	E9				
184		A9	E2	A6	A9		
185	F6	A6	F9				
186	D5	A3	A4				
187	F6	A4	A4	F1	J1		
188	F6	B8					
189	E6	B9	B9	B9			
