id	slack_time	departure_time	return_time
0	381	0	1684
1	0	534	1003
2	0	431	1295
3	151	238	986
4	214	0	1318
5	250	160	1704
6	440	0	1395
7	209	0	1162
8	52	67	1167
9	293	0	725
10	90	61	518
11	29	59	1576
12	223	155	1526
13	138	148	897
14	43	166	480
15	112	153	1339
16	162	0	1261
17	0	261	1273
18	26	447	939
19	448	155	1389
20	0	242	852
21	0	157	902
22	317	0	1424
23	92	424	1092
24	459	0	1383
25	143	0	1250
26	170	0	950
27	175	0	787
28	383	152	872
29	80	0	1212
30	532	0	499
31	0	161	1027
32	317	66	1490
33	475	0	1362
34	432	0	671
35	194	68	1155
36	219	0	1207
37	117	65	1223
38	68	0	1381
39	78	56	866
40	121	0	1311
41	477	150	1175
42	174	63	1254
43	270	59	950
44	12	250	1022
45	250	62	1170
46	151	147	1301
47	499	66	1313
48	264	158	1415
49	169	0	979
50	354	0	1035
51	422	0	922
52	0	161	1584
53	0	162	1431
54	360	0	1136
55	259	61	1075
56	0	59	1310
57	493	0	952
58	192	58	753
59	347	0	464
60	145	55	968
61	358	157	1517
62	316	56	1038
63	254	152	1094
64	155	152	763
65	19	0	1136
66	406	0	899
67	35	56	704
68	166	56	1358
69	318	0	1451
70	200	0	762
71	65	0	1047
72	43	60	1533
73	245	324	874
74	392	0	1308
75	556	148	1254
76	504	154	1273
77	129	0	1365
78	0	70	1201
79	592	0	657
80	317	60	936
81	259	73	846
82	214	0	1307
83	342	0	1268
84	821	0	1696
85	237	0	827
86	41	68	612
87	230	0	830
88	534	68	1480
89	268	60	891
90	63	251	668
91	447	0	881
92	0	154	1090
93	35	152	922
94	388	67	1322
95	21	0	943
96	0	156	1190
97	444	0	1334
98	66	0	996
99	0	161	1723
100	710	0	1004
101	375	245	1239
102	309	0	917
103	227	0	1515
104	0	238	1064
105	268	0	1559
106	330	0	1017
107	348	61	900
108	288	246	807
109	284	69	1164
110	417	0	806
111	850	153	1631
112	420	57	791
113	577	52	1397
114	488	57	896
115	168	59	983
116	38	52	1374
117	282	0	1540
118	240	153	1152
119	184	0	1196
120	0	240	990
121	166	0	1287
122	0	55	823
123	158	61	1241
124	0	60	770
125	267	0	1222
126	8	0	1103
127	0	59	913
128	197	0	1076
129	109	0	1413
130	38	60	1379
131	0	154	1425
132	235	69	1252
133	211	0	1264
134	520	0	1627
135	52	0	1315
136	6	0	759
137	79	64	1135
138	423	65	926
139	231	0	1039
140	190	148	973
141	29	0	1012
142	451	0	1663
143	356	0	1274
144	171	0	513
145	150	0	1131
146	64	0	1569
147	115	56	1027
148	399	0	1182
149	149	152	1236
150	280	60	881
151	262	0	675
152	353	55	1240
153	567	152	783
154	0	149	1291
155	35	58	921
156	265	61	1806
157	565	71	1340
158	46	0	1181
159	7	332	769
160	0	331	805
161	164	0	1021
162	57	60	1553
163	615	66	896
164	279	0	593
165	329	0	1336
166	359	0	1110
167	11	0	682
168	0	157	990
169	151	149	1506
170	119	58	643
171	244	151	1103
172	269	0	1363
173	95	63	1158
174	118	160	1515
175	0	164	1081
176	415	64	1812
177	22	0	1193
178	155	57	1078
179	304	0	1100
180	21	0	1587
181	133	68	1603
182	98	0	891
183	134	59	728
184	0	262	1517
185	377	0	715
186	45	69	750
187	286	0	1245
188	85	0	607
189	284	0	1133
