id	A	B	C	D	E	F	G
0	F6	A1	A1	B1	B1		
1	J1	J1	J1	J1	J1	J1	
2	F6	A6	I8	C10	C10		
3	F6	A3	B1	B1	B1	B1	
4	C2	C2	C2	B8	C2	C2	
5	F6	A8	E9	A8	A8		
6	F6	F9	F9	F9			
7	F6	G2	I8	I8	I8		
8	F6	G1	E2	E2	E2		
9	F6	I9	I9	I9			
10	F6	I9	I9	I9	I9		
11	B1	B1	C2	J1			
12	F6	F7	A10	F7			
13	H2	J1	I2				
14	F7	A10	A9	A9	A10		
15	F8	D8	D8	D8			
16	F6	B9	A8	H10	H10		
17	F6	G9	G4	G4			
18	F6	D3	F5	F5			
19	F6	E9	J1	J1	J1		
20	C7	A6	C7	D10			
21	F9	J1	F9	F9	F9		
22	D10	D10	D10				
23	D3	C7	D3	E2	F2		
24	A1	B2	B3	A1	A1		
25	J4	I8	J4				
26	E4	E4	A4	A4			
27	D8	B7	B7	B7	B7		
28	F6	C1	C1	C1			
29	F6	E5	G2	E5			
30	F3	F3	F3				
31	F6	I6	E4	E4			
32	F6	D10	F9				
33	F6	B10	B2	B2			
34	F2	D3	F1	E3			
35	C7	C7	C7	A10			
36	A9	A5	A9	A9	A9		
37	F6	G2	G2	C1			
38	C8	C8	A8	C8			
39	F6	D5	A8				
40	F6	G8	G8	G8			
41	F6	A4	B1	F2	B1	B1	
42	I8	I8	I8	I8			
43	F6	E9	F9	F8	E9		
44	F6	A5	A5	H2	A5	A5	
45	A4	A4	A8				
46	E5	D6	D6	F2	F2		
47	F6	J10	J10	C10			
48	F6	J10	J10	J10	A10		
49	F6	B9	B9	B9	B9		
50	F6	I2	I2	J3	I2		
51	F6	B9	E9	E9	E9	E9	
52	F6	A4	E5				
53	F6	C10	E7	C7			
54	E5	D5	E2	B1			
55	C3	C3	C3	C3			
56	B7	B7	B1	B7	B7	B7	
57	F7	F7	F10				
58	F6	B1	I2				
59	F6	D6	D6	D6			
60	F6	F9	C10				
61	F6	H10	J1	H10	H10		
62	J4	J4	J4				
63	F6	F10	B2	B2	B2	A1	
64	F6	I8	A8	A8	A9		
65	A10	A10	B9	B9			
66	F6	G2	A9	A9	A9	A9	
67	F6	D6	B3	A6			
68	F6	F9	G5	F9	F9	F9	
69	H5	H5	H5	H5	J1		
70	F6	G1	G1	G1	G1		
71	B7	B7	B7	B7	B7		
72	A4	C1	A4	A4	A4		
73	F5	F5	J1	J1			
74	F6	I9	J3	J3			
75	B7	B7	B7				
76	F6	D10	C7				
77	F6	C3	D2	C1			
78	F6	F10	F10	B7			
79	F1	F1	F1	F1			
80	E5	F2	F2				
81	B1	B1	B1	B1			
82	G2	I2	I2				
83	F6	C1	C1	C1	C1		
84	F6	B9	A4	B5	B9		
85	B1	B1	B1	B1	B1		
86	F6	E3	I8	H2			
87	F6	F10	F10	F10	F10		
88	F6	B8	F9	I9	I9		
89	F6	J3	J3	J3	J3		
90	F6	F4	F4	F3	F3		
91	C8	C8	D5	A6			
92	E9	C10	E9	E9	E9		
93	F6	J8	I9	J8	J8		
94	D7	D7	D7	A10	A10		
95	F6	C2	D3	F4			
96	F6	A8	A8	A8			
97	F6	B7	F9	F9	F9		
