id	A	B	C	D	E	F	G
0	D3	D3	D3	D3	D3		
1	F6	F5	J2	J1	J1	J1	
2	E4	E4	H2	F3			
3	F6	B9	B9	C10	B9		
4	F6	B1	B1	B1	B1	B1	
5	F6	I8	C10	C10	C10		
6	F10	F10	E5	E5	F10		
7	C7	C7	B7	C7			
8	F6	F7	D10	A9	A8		
9	F6	J9	I9				
10	F9	E5	C7	F9	F9		
11	F6	G2	E2				
12	H10	E2	H10	E5	F3		
13	F6	B8	E4	E4	E4		
14	F6	C1	F2	C1	C1		
15	F6	G2	I2	J1	J1		
16	F6	D7	D7	H5			
17	F6	E2	E2	E3			
18	I2	I2	I2	I3	H3		
19	F6	H10	A8	E5	B6	A8	
20	F6	J4	J4	J4			
21	K1	K1	K1	J1	I2		
22	J1	J1	J7	J1	J1		
23	B1	B1	B1	B1	B1		
24	F6	B9	B9	B9	B9		
25	F6	A10	A8	A10	A10		
26	F6	E9	G1	G1	D7		
27	F2	I3	F3	F2			
28	F6	F5	J2	F5			
29	A8	G8	A8	A8	A8		
30	A5	B1	A3	D3	A5	A5	
31	J3	I8	I8	I8			
32	H3	J8	H3	H3	H3		
33	F6	C10	C10	F9	F9	F9	
34	F6	J8	J8	J8	J8		
35	F9	F9	F9	F9			
36	F6	E2	J1	J1	J1	J1	
37	F6	J3	F2	H10			
38		D5	D5				
39	F6	F9	C7	F9			
40	F6	D10	A10	A9	A10		
41	J8	I8	J8	I9	I9		
42	F6	A4	B3	B2			
43	F6	I3	G4	H2			
44	F6	A5	A5	C3	A5		
45	F6	D5	I6	G8			
46	F6	B8	B8	B8			
47	J10	A9	J10	J10	J10		
48	D6	D6	A6	D6			
49	B2	C1	B1	A1			
50	F9	F9	F7	F7			
51	F6	I8	A3	A3	A3		
52	F6	F9	F9	E2	E2		
53	A10	A10	A10				
54	F6	A4	A4	A4	A4		
55	E3	B2	E3				
56	C10	F10	D10	C10	C10		
57	E5	E5	J4				
58	F6	G2	B1				
59	F6	A5	A10	A10	A10	A10	
60	F6	J4	F5	F5	F5		
61	B9	B9	B9	F7	B9		
62	F6	H5	F9	F9	F9		
63	F6	H10	H10	H10	H10		
64	A3	I2	A3	A3			
65	C3	E3	E2	C3			
66	F6	E3	D6	E3			
67	A9	J10	A9	A9	A9		
68	F6	B7	E7	D10	B7	B7	
69	F6	J3	F2	I3	F2		
70	F6	F10	F10	I8	F10		
71	F6	C6	F7				
72	F6	F9	F9	F9	F9	F9	
73	B9	B10	B9	B9	B9		
74	J1	J1	J1	J1	J1	J1	
75	C1	C1	C1	B3			
76	F6	D10	D10	D10			
77	F3	F3	I2	I2	F3		
78	B7	A10	B10	C10	B7		
79	F6	A4	G1	G1	G1		
80	F6	E9	C6				
81	I9	I9	F4	I8			
82	F6	D10	A1	A1			
83	A8	A8	D8	B9	A8		
84	F6	A5	E9	E9			
85	F7	F7					
86	F6	E2	B10	B10			
87	F6	C3	C3	C3			
88	I2	I2	G1	I2	I2		
89	F6	E4	E4	E4			
90	F1	F1	F1	F1			
91	F6	C7	C7	A5			
92	C10	C10	E9	C8	E9		
93	A6	B9	B9	A6			
94	C8	C8	F9	F9			
95	F6	C7	B1				
96	J10	J10	J10	J10			
97	F6	J3	J3	J3	J3		
98	F6	B1	B1				
99	F6	A6	A4	A3			
100	F6	E9	C2	C2	C2	C2	
101	E5	E5	A1	A1	A1		
102	A6	A4	A4	A4			
103	F5	E7	E7	F7			
104	A8	A8	A8	A8			
105	G5	H5	B1	B1	B1		
106	F6	B1	B1	B1	B1	B1	
107	D2	D2	D2	A4			
108	C2	B2	B2				
109	F7	F7	F7	E2			
110	A9	F2	A9	A9			
111	F9	B10	F9	F9			
112	F6	I6	I2	I2	I2		
113	E9	E9	A9	E9	E9	E9	
114	F6	A9	A9	A9	A9		
115	F6	A4	A4	G8	A4		
116	D8	D8	D8	D8			
117	A4	A4	C3	A4			
118	F6	F10	F10				
119	F6	A8	A8	A8	E9		
120	F6	E5	J10	J10			
121	E2	J1	J1	E2	E2	E2	
122	F6	F7	F7				
123	J10	A8	D10	J10	J10		
124	E5	E5	E5				
125	I9	A3	I9	I9	I9		
126	F6	F1	I2	I2			
127	E2	J2	E2	E2	E2		
128	F6	B7	B7	B7			
129	B7	B7	B7	B7	B7		
130	F6	D10	A10	A10			
131	G5	G5	G5				
132	A10	A10	A10	A10			
133	F6	B8	C10	C10			
134	I6	F2	F2				
135	G5	G5	G5	C6	G5		
136	H2	H2	I2	G2			
137	F6	B1	B1	A6	B1	B1	
138	F6	B9	B9				
139	F6	C3	D2	D3	D3		
140	J10	J10	J10	J10			
141	F6	C10	D8	D8			
142	J1	J1	J1	J1	J1		
143	F6	E2	E2	E2	E2		
144	G5	G4	F5	F5			
145	F6	C10	F7	E8			
146	F6	D10	E9	C10	C10		
147	F6	I9	F7	J10			
148	F6	B9	C10	E9	C10		
149	F6	A10	G8	A10	A10		
150	B2	A10	A10	B2	B2		
151	F6	C10	C10	C10	C10		
152	A9	A3	A9	A9	A9	A9	
153	C2	C2	C2	C2			
154	F6	A5	A5				
155	J3	J3	J1	J3	J3		
156	A5	I2	A5	A5	A5		
157	F6	F9	F9	I6			
158	F6	H2	A1	H2	H2		
159	A8	A8	A8	A8	A8		
160	F6	G1	B2	B6			
161	C8	B8	C8	C8			
162	D10	E6	F9	F9			
163	E5	F1	F2				
164	F6	A5	A1	A1			
165	J7	F3	J7	J7			
166	F6	G5	E5	A5	A5		
167	F6	E2	D2	D2			
168	F6	I9	J8	I9			
169	F6	B3	B3	B1			
170	F6	F8	I8	I8			
171	F6	C2	B1	C2			
172	F6	G2	G2	G2	G2		
173	F1	F1	E3				
174	F6	A9	A3	A9	A9		
175	F6	J2	J4	J2			
176	B9	F9	B9	B9			
177	D10	D10	E9	E9			
178	F6	B7	B7	B7	B7		
179	E9	F7	E9	E9	F10	E9	
180	H10	H10	H10				
181	F6	D3	D3	D2			
182	F6	B8	B9	A10			
183	B7	C7	A4	B7			
184	H10	G8	I9	H10	F9		
185	E9	E9	E9	E9	E9	E9	
186	F6	F7	J9	F8	J10		
187	D8	D8	D8				
188	F6	H5	H5	H5			
189	C10	C10	B7				
