id	A	B	C	D	E	F	G
0	J8	B10	G4	I6	E14	K11	J6
1	B13	B13	B13	B13	C13	C9	
2	M5	K12	I13	K11	K12	B11	
3	I4	H5	I12	K11	I3	I6	H7
4	H5	H5	I12	G8	G8	D8	G9
5	F4	F4	E2	E2	I3	E2	G7
6	M2	I6	G10	A10	M5	J11	K8
7	C8	F7	D8	D8	D8	D8	N3
8	D8	A12	A10	C7	F6	F6	
9	N9	D3	M5	N10	K3	F6	E12
10	M2	K3	G8	K3	K3	K3	I2
11	K3	I6	D2	D2	I1	G8	G11
12	C8	K3	I6	K2	K2	K3	J2
13	H9	N10	J11	J6	K12	I3	J8
14	G8	B10	B12	C7	C7	C13	
15	C12	C13	A12	M10	M10	N10	
16	I6	I12	I13	J11	J11	K11	
17	I6	G8	K8	K7	K7	I7	
18	J6	B9	G5	B10	I13	G9	D7
19	G8	C13	A12	G8	C10	K12	C13
20	C12	D14	G11	F11	G12	E14	H8
21	E13	I12	I13	I13	K12	I12	
22	H5	I6	H4	F4	F4	H4	E3
23		G9	G9	N10	N10	M10	M10
24	C12	C8	C9	C9	C9	F5	M3
25	L9	G11	G9	G9	G9	G11	G11
26	I6	H3	M3	N2	N2		
27	L6	J6	J11	G9	J7	J6	L5
28	J11	G11	G11	F11	F11	F11	A11
29	M9	L3	N2	N2	N2	J5	J4
30	K8	K8	L8	N10	N10	N10	N10
31	G5	G5	E5	H4	H4	G4	G4
32	E13	M9	M9	K7	M7	M7	K3
33	C12	F5	G3	G4	G4	J6	G7
34	K3	K3	N2	K2	I2	I3	H7
35	F7	K12	I6	I6	N2	C7	C7
36	E13	A12	N2	N10	I13	I13	H13
37	G4	G5	F4	D2	J5	F6	
38	F4	F5	A10	E2	G4	F4	G7
39	H2	F11	A10	F5	A11	B11	B11
40	H3	B9	A10	A11	A11	A11	E9
41	G3	C7	C7	C7	C7	G10	G9
42	F11	K6	C6	K5	M5	C7	I4
43	M9	J6	K6	J7	H4	K2	
44	I6	K2	C8	E6	B12	C9	F8
45	F7	M5	E14	A11	H4	J2	H7
46	K8	M9	G3	M5	M9	M9	M8
47	D3	D3	H3	M4	C7	E3	E3
48	H8	E14	E14	E14	E14	E13	C13
49	H6	I5	G11	B10	N3	C7	H4
50	J11	M9	H10	J8	K7	J8	I6
51	E13	H3	C6	J8	C9	C13	B11
52	B10	I13	A10	J12	J11	K8	
53	C8	E2	J11	N10	N10	M8	K2
54	B10	B10	N10	K8	J10	J10	
55	E3	D7	B9	A11	F6	H4	N3
56	J6	J6	K6	J6	J6	J6	
57	B10	H9	K2	G11	C7	G9	
58	B10	C7	C7	I13	N10	I4	G4
59			G7	C7	C7	C7	
60	C6	C6	C7	C7	C7	C7	E7
61	M9	K12	I12	A11	E14	M10	E13
62	J11	B9	I12	A10	M10	M10	
63	L3	I2	I2	J2	H1	I1	H5
64	H2	M5	N2	K2	I6	M9	
65	B9	B9	G8	G8	G8	G11	G9
66	L3	F7	N2	G8	K3	K3	J4
67	K3	H4	K8	I3	I3	J5	H7
68	J6	E6	G11	G9	F6	I6	J3
69	F5	H9	D2	H4	H4	H4	H4
70	D3	M5	M2	K3	I6	N3	
71	N9	A12	J2	M4	M5	M5	M5
72	D13	E14	E14	I3	I13	F13	G10
73	H9	B9	M3	K2	K2		
74	G3	H2	G9	G9	F5	F5	M10
75	H9	H9	H1	A10	I2	J6	K7
76	M2	K6	J6	K8	K11	H4	K11
77	F10	H1	I3	H3	E14	G11	
78	H5	H5	G8	G9	G9	G4	
79	L9	B10	B10	A11	B11	B11	
80	F11	C6	G7	G7	G7	G9	
81	D13	D13	K2	K2	K2	J3	
82	F7	H4	H4	H4	H4	H4	
83	I4	A12	B12	F6	I13	B11	B11
84	F6	G4	H10	C7	G6		
85	G4	N10	J11	F6	M9	I6	
86	K6	M5	N10	F6	G8	J10	C13
87	G8	K6	G4	I2	K7	F4	
88	J11	N10	K3	G8	K10	I3	
89	C12	I6	H1	N10	F6	N10	
90	E13	M5	G8	N10	J2	G9	H5
91	F5	L3	C12	C7	N3	M10	I6
92	L6	M3	N3	E14	G9	J2	I1
93	C8	F11	I6	C7	I12		
94	H8	N5	N10	K11	K12	A11	K3
95	I6	C8	K8	M5			
96	K3	N9	K11	J2	J6	I6	
97	G8	C8	K2	G4	I3	B11	J10
98	D3	K3	J7	K2	E14	H6	
99	L9	I6	E6	K2	F4	C7	
100	M9	H2	I12	E2	J11	C13	G11
101	F11	N10	J6	A11	E8		
102	H8	J11	K8	I6	C13	C13	J2
103	J8	E6	H2	F4	J12		
104	I12	K3	H1	I13	B11	J3	B11
105	F11	J11	H3	G4	B13	G7	
106	D13	K3	H4	N3	F6	J6	
107	M10	J11	M5	C7	N10	H13	M5
108	K8	J11	G8	G8	H4	G9	J2
109	H6	G11	H4	M5	K12	C13	K2
110	L9	E2	N2	B12	F6	H4	I5
111	C12	H3	H3	A11	K13	I1	K8
112	C12	C6	I13	J2	I4		
113	J6	M5	N2	I1	B13	E14	
114	J11	A12	C6	M4	F4	N3	E12
115	I12	N3	B10	G9	C7	C7	
116	B9	K12	G4	B10	A11	M10	D7
117	J11	E7	G8	H4	C10	E13	G4
118	F10	N3	B12	G11	I6	I4	
119	H6	H1	D14	E14	J5	M5	B11
120	F11	H1	I3	I13	H1	C13	G7
121	A12	H3	K12	N2	E2	M9	K3
122	D3	K2	B10	J8	H4	C13	H6
123	C12	A10	F4	A11	G8	I12	C10
124	F10	M2	I12	N2	I5		
125	J11	G11	H3	I2	I13	H7	
126	G4	C8	K3	I2	H4	M10	G9
127	C8	J12	J2	G11	F6		
128	K6	D2	M5	B7	K13	M5	
129	B10	N10	K12	B12	J7	F5	E3
130	K3	H4	E14	K6	M9	H4	J3
131	F5	A12	L8	D2			
132	E13	N10	G9	E13	B13		
133	F5	I12	E6	H4	A11	K3	I4
134	J11	B10	J6	E14	H4	C13	C9
135	B10	D2	G8	C7	M9	J11	M10
136	I5	G3	M5	G8	C7	F6	G10
137	M9	N5	J12	K2	K13	I7	
138	E3	C13	K8	J8	K7	N10	I6
139	H4	M5	I13	C7	N2	I1	G4
140	N9	J11	K2	H2	F6	F6	
141	F11	C7	H10	G11	G9	I3	I5
142	A12	M2	M4	H3	J12	E13	B11
143	J8	J6	H4	A10	H1	F4	H5
144	I6	H9	C7	M9	K2	C9	K8
145	D7	D13	K2	G8	I3	A11	H6
146	I6	G5	C7	E14	A11	A12	I13
147	C8	K8	K7	K2	F6	J3	J11
148	I2	I6	G11	I3	N10	E3	M3
149	E3	H9	G4	E14	E2	G4	
