id	A	B	C	D	E	F	G
0	F6	B9	B9	B9	B9		
1	D7	H3	A4	D7			
2	F1	F1	F1				
3	F6	G8	G8	E9			
4	D3	C7	D3	D3			
5	F6	B9	F9	F9	F9		
6			F7	C10			
7	E9	E9	E9	E9	E9		
8	A9	F7	A9	A9	A9	A9	
9	J10	J3	J1	J10	J10		
10	D10	D10	B10	D10			
11			C3	J8			
12	F6	I2	G2	E2	I2		
13	F6	E2	F9	E2	E2		
14	F9	F9	F9	I6	I8	F9	
15	E3	B1	E3	D3			
16	F6	D10	D10	I9			
17	C10	C10	C10				
18	F6	B7	A6	B2	B2		
19	F6	B5	B5	B5			
20	F6	C10	B9	B8	C10		
21	K1	A1	K1	G2	K1		
22		E3	J10	J10	J10		
23	B9	B9	A10				
24	F6	I3	H2	E2	E2		
25	E9	E9	E9	B10	E9		
26	F6	F8	A10	A10			
27	A10	A10	A10	A10	A10		
28		D8	D8				
29	F6	I2	I2				
30	E2	E5	E2	E2	E2		
31			C2	J3	J3		
32			D10	A4			
33	F6	A8	A8	A8			
34	F6	I3	F7				
35			F7	J8			
36			A10	B9			
37	F6	J10	I6	J10	J10		
38	F6	B1	B1	B1	B1	B1	
39	A9	I2	F2	A9			
40	F6	G2	G2	G2			
41	G2	F9	F9	F9	G2		
42	F6	H10	H10	H10	C10		
43	F6	B8	B6	B6			
44	G8	J10	J10	F10			
45	F6	F7	F7	F7			
46	F6	G9	G9	F9	A4		
47	C3	F3	C3	C3			
48	E5	D5					
49	F6	B1	A3	B1			
50	F6	C7	A8	A8			
51	D7	D7	D7	D7	D7		
52	B1	I2	B1	B1	B1		
53	G5	G5	G5	H2			
54	F6	B9	G8	B9	B9		
55	F1	F5	F5	F5			
56			G9				
57	F6	A10	C2	A8	A10		
58		A10	B9	A10			
59	F6	J9	I8				
60	F6	F5	J1	J1			
61	F6	E5	B1	B1	B1	B1	
62	J1	J1	J1	J1	J1		
63	F6	A5	C7	A5			
64	B1	C3	C9				
65	H3	F5	A9	F5	H3		
66	E3	E2	E3	J10			
67	F6	C10	I8				
68	A9	A9	A9	A9	A9		
69			F3				
70	F6	C10	I2	I2	I2		
71	F6	E2	E5				
72	F6	E2	E2	E3			
73	F6	F7					
74	B1	C7	C7	B1	B1		
75	F6	H10	I8				
76	F6	A3	B3	B7	B7	B7	
77	F6	A3	J8	J8	J8		
78			C10	C6			
79		A9	D10				
80			F5				
81	F6	I3	G5	I3			
82			J8	B9			
83	F6	J1	J1	J1	J1	J1	
84			D5	C8			
85			G5	G5			
86	A3	A3	B1				
87	F6	A9	A9	A9			
88	F9	F9	F9	F9	F9	F9	
89		C6	I2	I2	I2		
90	F6	E2	D3	A3	D3		
91			A10	G8			
92		F10	B3	H6	F10		
93	F6	G4	G4	G4			
94	F10	A8	F10	F10	F10		
95	F6	H3	E2				
96	F6	F2	J4	H5	J1		
97	F6	C2	B2	C2	C2		
98		C10	E9	G5			
99	F6	I9	C10	C10	C10		
100	A3	G1	A4	F7			
101	F6	F3	A8	A9			
102			B7	B7	B7		
103	B1	B1	B1	B1	B1	B1	
104		F1	F9	F1			
105	J3	I6	I2				
106	B3	B7	B3	B3			
107	F6	I2	I2	J10	J8		
108	F6	B7	A8	F9	F9		
109	A9	A9	I9	A9	A9		
110	C1	C1	C1	C3			
111	F6	J1	J1	J1			
112	F6	J1	J1	J1	J1	J1	
113	F6	A6	A6	A6			
114	F6	A1	A1	A1	A1		
115	F6	J1	F1	J1	J1	J1	
116	A8	A8	A8	C10	A8	A8	
117	F6	I9	I9	J7			
118		E9	A8	A8			
119	F2	D6	D6	D6			
120	I2	I2	I2	J1			
121	F6	C10	D10	A9	A9		
122	F6	C6	C6	C6			
123	C10	J8	J8	C10	C10		
124	F6	G9	I2	I2	I2		
125	F6	E5	A8	A9			
126	C1	A4	C1	C1	C1		
127	H10	H10	H10	H10	H10		
128	F6	C2	C2	C2	C2	C2	
129	F6	F9	B8				
130	G2	G2	I6	I3			
131	F6	I8	J10	J10	J10		
132	A4	A4	A4	A4	A4		
133	B10	B10	B10	B10			
134	F6	G1	F10	H3	H3		
135	F6	F5	I9	E9			
136	F6	A3	A4				
137	C10	F9	C10				
138			E5	B1			
139	F6	F10	E5				
140		A8	C2	D8			
141	F6	A4	A6	A6			
142			D10	E9			
143			G4	I8			
144		H10	G8	E5			
145	A1	A1	A1	A1	A1	A1	
