id	A	B	C	D	E	F	G
0	A1	B2	B1	B1	B1		
2		B2	B2	B2	C2	B2	
3	A1	A1	A2	A1	B1	B1	A1
5		A2	A2	A2			
6		B2	C1	C1	C2	B2	
7	B2	C3	B2	C3	B2		
8	B2	C3	C3	B3	B3	B2	
9	B2	A2	B2	B1	C2	B1	B2
10	B2	C1	B1	B1	B2	B2	
11	B1	C1	B1	B1	B1	B2	B3
12	A1	A1	A1	B2			
13		B2	B3	B3	C2	C2	C2
14		B2	B2				
15	B2	B1	A1	A1	A1	A2	
16	B2	B1	B1	C1	C1	B2	
17	B2	C1	C1	C1	B1	A1	
18	B2	A1	B2	B2	B2		
19		A2	A3	A3	A3	B3	
20		B2	B2	B2	B3	C2	B3
21		B2	A2	A2	A2	A1	A1
22	B2	A3	A3	B2			
23		B2	A1	A1	A1	B2	C3
24		B2	A2	A2	A2		
25		B2	C2	C2	B2	A3	
26		B2	B2	A2	B2		
27		B2	C3	C3	B2	A2	A1
28	B2	C1	C1	B1			
29		B2	C1	B1	B2	A3	A3
30			A2	A2	A2		
31			B2	A2	A2		
32		B2	A1	A1	A1	A2	B3
33				A2	A1	A1	
34					B2	C1	C1
