id	A	B	C	D	E	F	G
0.0	F6	A6	A6	A6			
1.0	F6	F4	F4				
2.0	F6	I9	A10	A10	A9		
3.0	F6	G2	I5	I8			
4.0	B1	B1	A4	B1	B1		
5.0	F6	C10	B9	C1	C1		
6.0	F6	E5	F4	I3			
7.0	F6	J1	J1	G1	J1		
8.0	F6	J1	J1	J1			
9.0			F9				
10.0	B7	B7	B7	B7	A3		
11.0	F6	J1	E3	J1	J1	J1	
12.0	F6	A6	C7	B1			
13.0	J8	F3	J8	J8	J8		
14.0	E4	E4	E4	E4	E4		
15.0	E2	E2	E2	E2	E2		
16.0		G8	G8				
17.0		C10	E5				
18.0	C1	E3	J1	C1	C1		
19.0	F6	A9	J8	J10	J8		
20.0	F6	I2	I2	I2	I2		
21.0	B9	B9	B9	B9	B9		
22.0	F6	C10	E9	E9	F9	E9	
23.0	F5	G2	B1	B1	B1	B1	
24.0	F6	A4	A4	A9			
25.0	F6	I9					
26.0	F6	E2	E7				
27.0	F6	J3	G5	G5			
28.0		B9	I9	I9	I9		
29.0	A5	D5	D5				
30.0	F6	J1	J1	J1	J3	J1	
31.0	F6	E5	J9	I6			
32.0		B9	E7				
33.0			I2	I2	I2		
34.0				D3			
35.0	F6	G8	A6	A6			
36.0	F6	E9	E9	E9	E9		
37.0		D5	E9	E9	E9	E9	
38.0			A8	A8	F10		
39.0			E5	E5			
40.0	F6	G8	J10	J10			
41.0		C3	C3	C3			
42.0		E5	J1	F2	J1		
43.0	F6	D5	A4				
44.0	A4	A10	A10	A10			
45.0	F6	F3	I2	F3	F3		
46.0	B1	B1	A1	A1			
47.0	A1	D10	D10	A1	A1		
48.0	F6	D3	D3	D3	D3		
49.0	F6	I2	I2	J7			
50.0	F6	A4	B3	A8	A8	A8	
51.0	F10	F7	F7				
52.0	J1	A1	J1	J1	J1		
53.0	F6	E2	E2	E2	E2	E2	
54.0	J1	J1	J1	J1			
55.0	F6	A10	J7	F8	F10		
56.0	F6	B8	B8	B8	A4		
57.0	C2	C2	C2	C2	C2	C2	
58.0	E5	E5	F9	F9	F9		
59.0	F6	J10	J10	J10	J10		
60.0	J2	F7	A9	J2			
61.0	F5	I9	I9	A8	I9		
62.0	J3	F5	J3				
63.0	A4	B6	E3				
64.0		E5	D5				
65.0	F6	B3	F9	D8			
66.0			F7				
67.0		A5	C7	E9			
68.0		F2	F2	F9			
69.0		B7	E9				
70.0	F1	G8	I8	F1			
71.0	D10	D10	C7	C7			
72.0			G1	G4			
73.0	F9	F9	J1	F9	F9		
74.0	F6	B1	B1	F4			
75.0	A5	A5	A5	A5			
76.0	B9	D8	J4				
77.0	C10	C10	C10	B1			
78.0	E5	E9	E9	E9	E9		
79.0	F5	E9	F5	F5			
80.0			C10	D10	C10		
81.0	B9	E3	B9	B9	B9		
82.0	F6	E9	H2	E9	E9		
83.0			J10	G5			
84.0	F6	J1	J1	J1	J1		
85.0	F6	A1	A1	A1			
86.0	D6	G5	D6	D6			
87.0	F6	J8	J8	J8			
88.0	F6	A10	B9	B9			
89.0	K1	K1	C6	K1	K1		
90.0	F7	C1	C1	B3			
91.0	F6	F3	F3	H2	F3		
92.0	F6	A8	A8	A8	A8		
93.0	F6	I5	H3	H3	H3		
94.0	D2	D2	D2	D2			
95.0	B9	B1	B9	C6	B9		
96.0	F6	C2	C2	C2	C2	C2	
97.0	F6	C10	B7	F9			
98.0	F6	J1	J1	J1	J1	J1	
99.0	F6	B2	H10	H10	H10		
100.0	B8	B8	C8	F7			
101.0	E5	D5	B1	B1	B1	B1	
102.0		F7	C7	F2	F2		
103.0	E2	J1	H5	E2			
104.0		A9	A4	A9			
105.0							
106.0			D10	B9	B7		
107.0		A4	A4	A6			
108.0	F6	A6	C1	C1	C1		
109.0	F6	F9	F10	F10			
110.0			F3				
111.0	F6	J8	J8	J8	J8		
112.0	F6	B8	A5	A5	A5	A5	
113.0	F6	H2	E3	E3	H2		
114.0	F6	I3	J2	J4			
115.0	J8	J8	J8	D7			
116.0	F6	H10	B9	B9			
117.0	F6	C10	B8	A10			
118.0	I9	I9	F9	F9	F9		
119.0	F9	F9	C10	I8	F9		
120.0	F6	G2	A1	A1	A1	A1	
121.0	B7	B7	A6	B8			
122.0		C6	A5	E4	A5		
123.0				H3			
124.0		J7	J7	J7			
125.0		J8	F2				
126.0	F6	F10	G8	H2			
127.0	J10	J10	J10	H10	J10		
128.0	F6	D8	F9	E8			
129.0		G2	I8	G2			
130.0	A8	A8	A8	C8	A8		
131.0	G5	J4	J4				
132.0	F6	A10	A10	A9			
133.0	H10	B2	F2	H10	H10		
134.0	F6	J10	J10	H5			
135.0	F6	H10	I2	G2	I2		
136.0	F6	E9	E9	G5			
137.0	J1	J3	F5	F5			
138.0				A8	A8		
139.0	F6	A8	A8	A8			
140.0	F6	F10	E9	E9	E9	E9	
141.0			D3	E6			
142.0	F6	B1	B1	B1			
143.0	F6	C6	H2	H2			
144.0			J10	B2			
145.0		E9	C10				
146.0	F10	B8	F10	F10	F10		
147.0			F6	J10	J10		
148.0		I2	I2	I2			
149.0	F6	J9	I8	J10			
150.0	A9	A9	E5	A9	A9	A9	
151.0	F6	G4	J10	J10	J10		
152.0	F6	A10	C7	A10			
153.0	F6	A4	A4	D3			
154.0	F6	J4	I2	E2	E2		
155.0	E7	D10	C10	C10			
156.0	B9	B10	B9	B9	C10		
157.0	F1	F1	D3	F1			
158.0	F6	E5	A4	A5			
159.0			F3	F3			
160.0	F6	A3	C3	C3	F9		
161.0	F6	E9	E9	G9	B7		
162.0	C10	C10	D10	B10			
163.0	F6	J7	E5	J7			
164.0	F9	B6	F9	F9	F9	F9	
165.0	B1	B1	B1	B1	B1	B1	
166.0	F6	B7	A9	A9	A9		
167.0	F6	G2	E2	E2	E2		
168.0	J9	I6	I8				
169.0	A10	A8	B9	A10	A10		
170.0	F6	F2	C2	G2			
171.0							
172.0			J8	F3			
173.0		I8	D8	C10			
174.0	F5	F7	E2	E2	B1		
175.0			E9	C7	E9		
176.0	F6	A6	A5	A5			
177.0	B1	C1	A3	C2			
178.0		C10	C10	I9			
179.0	A10	A10	A10	A10	A10	A10	
180.0	F6	E2	C1	F9	F9	F9	
181.0		F7					
182.0	D10	D10	D10				
183.0	F6	J7	I3				
184.0	F6	I8	I8	A10	I8		
185.0	F6	B9	A6	E9	E9		
186.0	J3	J10	J3	J3	J3		
187.0	J3	J1	J3	J3			
188.0	F6	J3	I8	I8	I8		
189.0	F6	D10	D10	D10			
190.0	F6	G1	G1	G1	G1		
191.0	F6	F2	E3	A8			
192.0	D2	D2	D2	B7			
193.0	F6	C10	I8	C10	C10		
194.0		B1	B9	B9			
195.0	I8	I8	C10	I8	C10		
196.0			B1	G2			
197.0	F9	F9	F9				
198.0		E5	E5	C1	A8		
199.0	I9	I9	I9				
200.0		B9	B9	B9			
201.0	H10	H10	H10				
202.0	A7	A7	A7	A7			
203.0	I2	I2	I2				
204.0		E2	E2				
205.0	I2	I2					
